rev5_control,ksi_id,theme,capability,validation_focus,mapping_type,trace_note
CM-8,KSI-INV-01,Policy and Inventory,Authoritative inventory reconciliation,CM-8/PL-2/RA-2 inventory posture in KSI-INV-01,primary,"Rev4 CM family inventory / asset mgmt → Rev5 CM-8 → KSI-INV-01 (authoritative inventory)."
CP-9,KSI-REC-01,Recovery Planning,Backup scope and restore proof,CP-9/CP-10 continuity in KSI-REC-01,primary
CP-10,KSI-REC-01,Recovery Planning,Backup scope and restore proof,CP-9/CP-10 continuity in KSI-REC-01,secondary
SA-4,KSI-SCRM-01,Supply Chain Risk,Third-party and dependency transparency,SA/SR criteria in KSI-SCRM-01,secondary
SA-8,KSI-SCRM-01,Supply Chain Risk,Third-party and dependency transparency,SA/SR criteria in KSI-SCRM-01,secondary
SA-9,KSI-SCRM-01,Supply Chain Risk,Third-party and dependency transparency,SA/SR criteria in KSI-SCRM-01,secondary
SA-11,KSI-SCRM-01,Supply Chain Risk,Third-party and dependency transparency,SA/SR criteria in KSI-SCRM-01,secondary
SR-3,KSI-SCRM-01,Supply Chain Risk,Third-party and dependency transparency,SA/SR criteria in KSI-SCRM-01,secondary
SR-5,KSI-SCRM-01,Supply Chain Risk,Third-party and dependency transparency,SA/SR criteria in KSI-SCRM-01,secondary
AC-4,KSI-LOG-01,"Monitoring, Logging, and Auditing",Centralized logging and alerting,AU family criteria in KSI-LOG-01,secondary
AC-17,KSI-LOG-01,"Monitoring, Logging, and Auditing",Centralized logging and alerting,AU family criteria in KSI-LOG-01,secondary
SC-7,KSI-LOG-01,"Monitoring, Logging, and Auditing",Centralized logging and alerting,AU family criteria in KSI-LOG-01,secondary
SC-7(3),KSI-LOG-01,"Monitoring, Logging, and Auditing",Centralized logging and alerting,AU family criteria in KSI-LOG-01,secondary
SC-7(4),KSI-LOG-01,"Monitoring, Logging, and Auditing",Centralized logging and alerting,AU family criteria in KSI-LOG-01,secondary
SC-7(5),KSI-LOG-01,"Monitoring, Logging, and Auditing",Centralized logging and alerting,AU family criteria in KSI-LOG-01,secondary
CM-7,KSI-CM-01,Change Management,Change records and drift linkage,CM maintenance and CA-5/CA-7 program ties in KSI-CM-01,secondary
AC-2,KSI-AGENT-01,Identity and Access Management,AI agent identities,Registered scoped agent identities,secondary
AU-2,KSI-AGENT-02,"Monitoring, Logging, and Auditing",Agent telemetry,Logged agent tool and policy decisions,secondary
IR-4,KSI-AGENT-03,Incident Response,Agentic misuse,Detections tickets and threat hunt,secondary
CM-3,KSI-AGENT-04,Change Management,Agent change control,Tool permission and policy versioning,secondary
